site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
266,button,"rgb(250, 250, 250)","rgb(29, 32, 35)","rgb(250,250,250)","rgb(29,32,35)",15.68,15.68,1,1,0,0
266,button,"rgb(29, 32, 35)","rgb(242, 243, 247)","rgb(29,32,35)","rgb(242,243,247)",14.76,14.76,1,1,0,0
266,a,"rgb(255, 255, 255)","rgb(255, 0, 50)","rgb(255,255,255)","rgb(255,0,50)",3.96,3.96,0,0,0,0
266,a,"rgb(0, 112, 229)","rgb(255, 255, 255)","rgb(0,112,229)","rgb(255,255,255)",4.72,4.72,1,1,0,0
266,span,"rgb(0, 112, 229)","rgb(29, 32, 35)","rgb(0,112,229)","rgb(29,32,35)",3.47,3.47,0,0,0,0
266,a,"rgb(0, 112, 229)","rgb(242, 243, 247)","rgb(0,112,229)","rgb(242,243,247)",4.26,4.26,0,0,0,0
266,div,"rgb(29, 32, 35)","rgb(37, 39, 58)","rgb(29,32,35)","rgb(37,39,58)",1.11,1.11,0,0,0,0
266,div,"rgb(255, 255, 255)","rgb(242, 243, 247)","rgb(255,255,255)","rgb(242,243,247)",1.11,1.11,0,0,0,0
268,div,"rgb(32, 33, 34)","rgb(234, 236, 240)","rgb(32,33,34)","rgb(234,236,240)",13.64,13.64,1,1,0,0
268,div,"rgb(32, 33, 34)","rgb(232, 238, 255)","rgb(32,33,34)","rgb(232,238,255)",13.9,13.9,1,1,0,0
268,a,"rgb(255, 255, 255)","rgb(51, 102, 204)","rgb(255,255,255)","rgb(51,102,204)",5.37,5.37,1,1,0,0
269,a,"rgb(255, 255, 255)","rgb(0, 0, 0)","rgb(255,255,255)","rgb(0,0,0)",21,21,1,1,0,0
269,a,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
269,a,"rgb(255, 255, 255)","rgb(2, 74, 216)","rgb(255,255,255)","rgb(2,74,216)",7.06,7.06,1,1,0,0
269,button,"rgb(255, 255, 255)","rgb(22, 93, 186)","rgb(255,255,255)","rgb(22,93,186)",6.35,6.35,1,1,0,0
270,div,"rgb(255, 255, 255)","rgb(1, 50, 75)","rgb(255,255,255)","rgb(1,50,75)",13.47,13.47,1,1,0,0
270,button,"rgb(2, 94, 141)","rgb(255, 255, 255)","rgb(2,94,141)","rgb(255,255,255)",7.03,7.03,1,1,0,0
